城名,URL
高木大塚城,https://gosenzo.net/yamajiro/2021/09/18/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e9%ab%98%e6%9c%a8%e5%a4%a7%e5%a1%9a%e5%9f%8e%e3%80%90%e4%b8%89%e6%9c%a8%e5%b8%82%e5%88%a5%e6%89%80%e7%94%ba%e6%9c%9d%e6%97%a5%e3%82%b1%e4%b8%98%e3%80%91/
明石道峯構付城,https://gosenzo.net/yamajiro/2021/09/18/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e6%98%8e%e7%9f%b3%e9%81%93%e5%b3%af%e6%a7%8b%e4%bb%98%e5%9f%8e%e3%80%90%e4%b8%89%e6%9c%a8%e5%b8%82%e7%a6%8f%e4%ba%95%e3%80%91/
鷹尾山城,https://gosenzo.net/yamajiro/2021/09/18/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e9%b7%b9%e5%b0%be%e5%b1%b1%e5%9f%8e%e3%80%90%e4%b8%89%e6%9c%a8%e5%b8%82%e7%a6%8f%e4%ba%95%e3%80%91/
円光寺砦,https://gosenzo.net/yamajiro/2021/09/19/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%86%86%e5%85%89%e5%af%ba%e7%a0%a6%e3%80%90%e4%bd%90%e7%94%a8%e9%83%a1%e4%bd%90%e7%94%a8%e7%94%ba%e5%86%86%e5%85%89%e5%af%ba%e3%80%91/
加古川城,https://gosenzo.net/yamajiro/2021/09/19/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%8a%a0%e5%8f%a4%e5%b7%9d%e5%9f%8e%e3%80%90%e5%8a%a0%e5%8f%a4%e5%b7%9d%e5%b8%82%e5%8a%a0%e5%8f%a4%e5%b7%9d%e7%94%ba%e6%9c%ac%e7%94%ba%e3%80%91/
神吉城,https://gosenzo.net/yamajiro/2021/09/19/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e7%a5%9e%e5%90%89%e5%9f%8e%e3%80%90%e5%8a%a0%e5%8f%a4%e5%b7%9d%e5%b8%82%e6%9d%b1%e7%a5%9e%e5%90%89%e7%94%ba%e7%a5%9e%e5%90%89%e3%80%91/
金鑵城,https://gosenzo.net/yamajiro/2021/09/19/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e9%87%91%e9%91%b5%e5%9f%8e%e3%80%90%e5%b0%8f%e9%87%8e%e5%b8%82%e6%98%ad%e5%92%8c%e7%94%ba%e5%b0%8f%e5%ad%97%e5%a4%a7%e8%b0%b7%e3%80%91/
櫛田城,https://gosenzo.net/yamajiro/2021/09/20/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e6%ab%9b%e7%94%b0%e5%9f%8e%e3%80%90%e4%bd%90%e7%94%a8%e9%83%a1%e4%b8%8a%e6%9c%88%e7%94%ba%e6%ab%9b%e7%94%b0%e3%80%91/
福原城,https://gosenzo.net/yamajiro/2021/09/20/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e7%a6%8f%e5%8e%9f%e5%9f%8e%e3%80%90%e4%bd%90%e7%94%a8%e9%83%a1%e4%bd%90%e7%94%a8%e7%94%ba%e5%ad%97%e7%a6%8f%e5%8e%9f%e3%80%91/
上月城,https://gosenzo.net/yamajiro/2021/09/20/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e4%b8%8a%e6%9c%88%e5%9f%8e%e3%80%90%e4%bd%90%e7%94%a8%e9%83%a1%e4%bd%90%e7%94%a8%e7%94%ba%e4%b8%8a%e6%9c%88%e3%80%91/
